''''recordId,surveyId,district,enumeratorId,surveyDate,age,gender,education,employmentStatus,householdSize,weeklyHours,monthlyIncome,_plantedAnomaly,_plantedFlags
REC_00000,PLFS_2026,Salem,E101,2026-07-01,52,Female,Secondary,Employed,1,42,17850,False,
REC_00001,PLFS_2026,Salem,E107,2026-07-01,38,Male,Higher Secondary,Self-Employed,4,49,21844,False,
REC_00002,PLFS_2026,Salem,E107,2026-07-01,33,Male,Below Primary,Self-Employed,3,40,13890,False,
REC_00003,PLFS_2026,Madurai,E106,2026-07-01,30,Female,Below Primary,Self-Employed,5,45,10748,False,
REC_00004,PLFS_2026,Madurai,E108,2026-07-01,45,Female,Secondary,Employed,3,50,18765,False,
REC_00005,PLFS_2026,Salem,E106,2026-07-01,30,Female,Higher Secondary,Self-Employed,4,49,27093,False,
REC_00006,PLFS_2026,Madurai,E104,2026-07-01,49,Female,Below Primary,Self-Employed,4,35,17876,False,
REC_00007,PLFS_2026,Madurai,E101,2026-07-01,21,Female,Below Primary,Employed,5,48,9182,False,
REC_00008,PLFS_2026,Salem,E103,2026-07-01,36,Female,Higher Secondary,Employed,3,55,18861,False,
REC_00009,PLFS_2026,Trichy,E101,2026-07-01,34,Male,Graduate,Employed,1,58,22005,False,
REC_00010,PLFS_2026,Trichy,E101,2026-07-01,41,Male,Secondary,Self-Employed,3,44,20915,False,
REC_00011,PLFS_2026,Trichy,E102,2026-07-01,58,Male,Below Primary,Employed,4,91,56794,True,planted_combo_anomaly
REC_00012,PLFS_2026,Madurai,E101,2026-07-01,50,Female,Graduate,Self-Employed,3,53,34218,False,
REC_00013,PLFS_2026,Trichy,E108,2026-07-01,50,Female,Post Graduate,Employed,3,43,39819,False,
REC_00014,PLFS_2026,Coimbatore,E106,2026-07-01,21,Male,Secondary,Employed,6,44,19022,False,
REC_00015,PLFS_2026,Chennai,E103,2026-07-01,31,Female,Graduate,Employed,2,40,29227,False,
REC_00016,PLFS_2026,Chennai,E101,2026-07-01,46,Male,Post Graduate,Employed,4,47,35438,False,
REC_00017,PLFS_2026,Madurai,E101,2026-07-01,43,Female,Post Graduate,Employed,5,50,44152,False,
REC_00018,PLFS_2026,Coimbatore,E107,2026-07-01,41,Female,Secondary,Employed,2,36,19637,False,
REC_00019,PLFS_2026,Chennai,E101,2026-07-01,37,Female,Graduate,Employed,4,58,32065,False,
REC_00020,PLFS_2026,Trichy,E101,2026-07-01,53,Male,Higher Secondary,Unemployed,4,0,0,False,
REC_00021,PLFS_2026,Coimbatore,E102,2026-07-01,28,Male,Below Primary,Employed,6,51,51964,True,planted_income_spike
REC_00022,PLFS_2026,Chennai,E105,2026-07-01,52,Female,Graduate,Employed,1,49,20660,False,
REC_00023,PLFS_2026,Coimbatore,E103,2026-07-01,37,Male,Post Graduate,Employed,3,129,39734,True,planted_hours_spike
REC_00024,PLFS_2026,Trichy,E106,2026-07-01,54,Female,Post Graduate,Employed,3,50,39232,False,
REC_00025,PLFS_2026,Chennai,E104,2026-07-01,18,Male,Higher Secondary,Employed,2,43,26894,False,
REC_00026,PLFS_2026,Madurai,E107,2026-07-01,43,Female,Higher Secondary,Self-Employed,2,43,30878,False,
REC_00027,PLFS_2026,Coimbatore,E107,2026-07-01,39,Male,Post Graduate,Employed,3,48,199450,True,planted_income_spike
REC_00028,PLFS_2026,Coimbatore,E101,2026-07-01,32,Female,Graduate,Employed,4,116,32028,True,planted_hours_spike
REC_00029,PLFS_2026,Trichy,E101,2026-07-01,40,Male,Below Primary,Employed,4,38,10028,False,
REC_00030,PLFS_2026,Coimbatore,E108,2026-07-01,49,Male,Higher Secondary,Employed,3,47,20651,False,
REC_00031,PLFS_2026,Trichy,E102,2026-07-01,48,Female,Post Graduate,Employed,3,43,43973,False,
REC_00032,PLFS_2026,Madurai,E102,2026-07-01,52,Female,Post Graduate,Unemployed,3,0,209744,True,planted_income_spike
REC_00033,PLFS_2026,Salem,E108,2026-07-01,25,Female,Post Graduate,Employed,4,41,41298,False,
REC_00034,PLFS_2026,Coimbatore,E104,2026-07-01,37,Female,Below Primary,Self-Employed,4,130,14376,True,planted_hours_spike
REC_00035,PLFS_2026,Salem,E102,2026-07-01,24,Male,Secondary,Employed,2,47,23770,False,
REC_00036,PLFS_2026,Salem,E101,2026-07-01,33,Female,Secondary,Employed,4,53,20932,False,
REC_00037,PLFS_2026,Madurai,E106,2026-07-01,34,Male,Post Graduate,Unemployed,2,0,0,False,
REC_00038,PLFS_2026,Trichy,E105,2026-07-01,52,Male,Post Graduate,Employed,2,50,30778,False,
REC_00039,PLFS_2026,Chennai,E102,2026-07-01,39,Male,Graduate,Self-Employed,4,39,28954,False,
REC_00040,PLFS_2026,Madurai,E101,2026-07-01,33,Male,Post Graduate,Employed,4,46,38429,False,
REC_00041,PLFS_2026,Trichy,E103,2026-07-01,56,Female,Below Primary,Self-Employed,4,39,11793,False,
REC_00042,PLFS_2026,Chennai,E105,2026-07-01,37,Male,Secondary,Employed,4,65,19335,False,
REC_00043,PLFS_2026,Trichy,E108,2026-07-01,18,Male,Below Primary,Self-Employed,3,29,11208,False,
REC_00044,PLFS_2026,Chennai,E105,2026-07-01,18,Male,Below Primary,Self-Employed,2,32,12921,False,
REC_00045,PLFS_2026,Coimbatore,E105,2026-07-01,38,Male,Graduate,Self-Employed,4,128,20191,True,planted_hours_spike
REC_00046,PLFS_2026,Trichy,E104,2026-07-01,44,Female,Post Graduate,Employed,6,48,34762,False,
