recordId,surveyId,district,enumeratorId,surveyDate,age,gender,education,employmentStatus,householdSize,weeklyHours,monthlyIncome,_plantedAnomaly,_plantedFlags
HIST_00000,PLFS_2026,Chennai,E101,2025-12-01,43,Female,Secondary,Employed,3,50,23482,False,
HIST_00001,PLFS_2026,Chennai,E102,2025-07-01,35,Female,Below Primary,Employed,3,57,13841,False,
HIST_00002,PLFS_2026,Madurai,E104,2025-05-01,32,Male,Post Graduate,Employed,4,41,34460,False,
HIST_00003,PLFS_2026,Trichy,E107,2024-08-01,40,Female,Post Graduate,Employed,1,31,33726,False,
HIST_00004,PLFS_2026,Chennai,E103,2025-11-01,25,Female,Higher Secondary,Employed,4,37,15785,False,
HIST_00005,PLFS_2026,Madurai,E106,2024-04-01,55,Male,Graduate,Employed,3,45,20021,False,
HIST_00006,PLFS_2026,Salem,E105,2024-02-01,31,Female,Post Graduate,Employed,4,35,40855,False,
HIST_00007,PLFS_2026,Coimbatore,E102,2025-06-01,30,Female,Post Graduate,Self-Employed,3,40,52077,False,
HIST_00008,PLFS_2026,Salem,E104,2025-11-01,37,Male,Below Primary,Unemployed,2,0,0,False,
HIST_00009,PLFS_2026,Salem,E102,2024-08-01,40,Male,Graduate,Employed,1,34,29102,False,
HIST_00010,PLFS_2026,Salem,E103,2024-12-01,46,Female,Secondary,Unemployed,4,0,0,False,
HIST_00011,PLFS_2026,Chennai,E103,2025-06-01,20,Male,Secondary,Employed,3,41,21805,False,
HIST_00012,PLFS_2026,Salem,E104,2025-10-01,42,Female,Below Primary,Employed,1,47,11075,False,
HIST_00013,PLFS_2026,Chennai,E106,2025-01-01,29,Female,Below Primary,Employed,4,53,14235,False,
HIST_00014,PLFS_2026,Trichy,E106,2024-07-01,27,Female,Graduate,Self-Employed,3,47,33463,False,
HIST_00015,PLFS_2026,Coimbatore,E103,2024-09-01,32,Male,Secondary,Unemployed,3,0,0,False,
HIST_00016,PLFS_2026,Trichy,E105,2025-12-01,47,Female,Post Graduate,Employed,5,44,45626,False,
HIST_00017,PLFS_2026,Madurai,E103,2025-05-01,42,Female,Below Primary,Self-Employed,3,47,15691,False,
HIST_00018,PLFS_2026,Chennai,E103,2025-09-01,37,Male,Graduate,Employed,6,24,32602,False,
HIST_00019,PLFS_2026,Coimbatore,E107,2025-08-01,39,Female,Post Graduate,Employed,3,45,22894,False,
HIST_00020,PLFS_2026,Trichy,E101,2025-10-01,35,Male,Post Graduate,Self-Employed,4,56,34061,False,
HIST_00021,PLFS_2026,Salem,E102,2024-10-01,28,Female,Secondary,Employed,3,52,19183,False,
HIST_00022,PLFS_2026,Salem,E103,2025-05-01,31,Male,Higher Secondary,Self-Employed,4,45,26262,False,
HIST_00023,PLFS_2026,Trichy,E104,2024-05-01,29,Female,Secondary,Employed,3,41,12731,False,
HIST_00024,PLFS_2026,Trichy,E101,2025-08-01,41,Female,Graduate,Employed,4,45,26686,False,
HIST_00025,PLFS_2026,Salem,E105,2024-08-01,21,Male,Secondary,Self-Employed,3,42,15111,False,
HIST_00026,PLFS_2026,Chennai,E102,2025-12-01,36,Female,Below Primary,Self-Employed,4,60,12418,False,
HIST_00027,PLFS_2026,Trichy,E103,2024-05-01,41,Female,Post Graduate,Employed,3,29,37798,False,
HIST_00028,PLFS_2026,Trichy,E107,2024-07-01,38,Male,Higher Secondary,Employed,7,43,23326,False,
HIST_00029,PLFS_2026,Salem,E108,2025-05-01,37,Female,Below Primary,Employed,2,54,13804,False,
HIST_00030,PLFS_2026,Chennai,E106,2024-01-01,47,Male,Post Graduate,Employed,2,56,27345,False,
HIST_00031,PLFS_2026,Chennai,E101,2024-08-01,45,Male,Below Primary,Self-Employed,6,37,10640,False,
HIST_00032,PLFS_2026,Chennai,E104,2024-09-01,39,Female,Secondary,Employed,3,32,18246,False,
HIST_00033,PLFS_2026,Trichy,E108,2024-08-01,25,Female,Graduate,Employed,4,37,36679,False,
HIST_00034,PLFS_2026,Chennai,E107,2024-12-01,28,Female,Graduate,Employed,3,51,21107,False,
